year,mean,unc
-797446,399.0,
-796467,458.0,
-795327,396.0,
-794370,418.0,
-792988,428.0,
-792450,420.0,
-791646,451.0,
-790877,470.0,
-790045,466.0,
-789427,503.0,
-788740,483.0,
-788088,540.0,
-787312,543.0,
-786865,562.0,
-786173,589.0,
-785723,659.0,
-784988,713.0,
-784699,699.0,
-784590,739.0,
-784540,723.0,
-784010,677.0,
-783436,686.0,
-782690,639.0,
-782158,653.0,
-781478,618.0,
-780901,639.0,
-780007,623.0,
-779683,633.0,
-778795,630.0,
-778145,616.0,
-777333,598.0,
-776810,614.0,
-776082,681.0,
-775460,658.0,
-774605,601.0,
-774044,618.0,
-773296,577.0,
-772575,583.0,
-771682,549.0,
-771049,566.0,
-770249,530.0,
-770064,539.0,
-769879,543.0,
-769591,556.0,
-769255,639.0,
-768981,647.0,
-768652,632.0,
-768344,630.0,
-768130,622.0,
-767777,616.0,
-767630,587.0,
-767350,570.0,
-766741,568.0,
-765671,486.0,
-765121,519.0,
-764296,467.0,
-763936,462.0,
-763555,470.0,
-763272,500.0,
-763134,535.0,
-762798,518.0,
-762635,563.0,
-762193,549.0,
-761868,556.0,
-761513,538.0,
-760877,521.0,
-760089,474.0,
-759624,473.0,
-758686,454.0,
-758065,462.0,
-757250,434.0,
-756867,421.0,
-756432,486.0,
-756193,498.0,
-756050,498.0,
-755558,505.0,
-755266,480.0,
-755045,473.0,
-754836,439.0,
-754371,419.0,
-753665,445.0,
-753190,429.0,
-752399,406.0,
-752070,410.0,
-750618,431.0,
-749805,401.0,
-749304,428.0,
-748653,408.0,
-748095,400.0,
-747370,378.0,
-746920,409.0,
-746283,392.0,
-745766,405.0,
-745100,402.0,
-744653,428.0,
-744055,415.0,
-743522,432.0,
-742824,421.0,
-742362,422.0,
-741756,439.0,
-741257,422.0,
-740553,402.0,
-740121,409.0,
-739473,388.0,
-738918,414.0,
-738262,411.0,
-737860,403.0,
-737323,408.0,
-736869,407.0,
-736180,423.0,
-735872,508.0,
-735336,542.0,
-734973,561.0,
-734463,546.0,
-734107,541.0,
-733574,518.0,
-733151,531.0,
-732638,520.0,
-732244,519.0,
-731698,530.0,
-731209,525.0,
-730511,521.0,
-730196,537.0,
-729492,512.0,
-729077,538.0,
-728293,545.0,
-727804,551.0,
-726923,530.0,
-726503,559.0,
-725757,531.0,
-725230,541.0,
-724545,504.0,
-723919,561.0,
-722970,478.0,
-722423,581.0,
-721738,560.0,
-721022,566.0,
-719971,515.0,
-719308,491.0,
-718583,401.0,
-717692,408.0,
-716685,392.0,
-716013,403.0,
-715245,399.0,
-714513,435.0,
-713700,531.0,
-713165,570.0,
-712239,577.0,
-711788,593.0,
-711060,597.0,
-710415,588.0,
-709619,573.0,
-709001,591.0,
-708191,556.0,
-707809,568.0,
-707681,611.0,
-706904,521.0,
-706420,512.0,
-705649,505.0,
-705203,519.0,
-704452,610.0,
-704027,610.0,
-703387,585.0,
-702911,602.0,
-702258,588.0,
-701926,593.0,
-701377,582.0,
-700968,605.0,
-700513,594.0,
-700102,584.0,
-699581,571.0,
-699253,595.0,
-698715,578.0,
-698396,581.0,
-697922,566.0,
-697607,594.0,
-697182,604.0,
-696324,588.0,
-696097,605.0,
-695658,604.0,
-694968,624.0,
-694693,645.0,
-694279,643.0,
-694030,647.0,
-693621,632.0,
-693349,652.0,
-692955,635.0,
-692699,639.0,
-692313,629.0,
-692055,615.0,
-691416,590.0,
-691006,602.0,
-690750,596.0,
-690353,557.0,
-690085,570.0,
-689672,568.0,
-689416,584.0,
-688757,561.0,
-688330,549.0,
-688033,555.0,
-687609,540.0,
-687346,557.0,
-686898,542.0,
-686635,538.0,
-686204,527.0,
-685936,529.0,
-685474,538.0,
-684737,523.0,
-684441,521.0,
-683975,514.0,
-683749,508.0,
-682912,520.0,
-682436,504.0,
-682105,499.0,
-681617,498.0,
-681310,494.0,
-680777,543.0,
-680703,523.0,
-680439,505.0,
-679822,486.0,
-679467,482.0,
-678896,490.0,
-678606,466.0,
-678161,446.0,
-677786,460.0,
-677246,544.0,
-677149,500.0,
-676882,494.0,
-676236,495.0,
-675914,491.0,
-675342,464.0,
-675023,466.0,
-674598,455.0,
-674206,536.0,
-673590,551.0,
-673159,554.0,
-672458,564.0,
-672164,562.0,
-671488,512.0,
-671113,529.0,
-670382,471.0,
-669974,462.0,
-669276,439.0,
-669050,483.0,
-668965,489.0,
-667679,396.0,
-666842,390.0,
-666376,385.0,
-665640,365.0,
-665030,374.0,
-664268,376.0,
-662084,414.0,
-660574,384.0,
-659084,402.0,
-657454,359.0,
-655795,344.0,
-654857,398.0,
-654141,414.0,
-652531,397.0,
-650705,409.0,
-648727,414.0,
