,Unnamed: 0,year,CO2 (ppmv)
0,0,1959,315.98
1,1,1960,316.91
2,2,1961,317.64
3,3,1962,318.45
4,4,1963,318.99
5,5,1964,319.62
6,6,1965,320.04
7,7,1966,321.37
8,8,1967,322.18
9,9,1968,323.05
10,10,1969,324.62
11,11,1970,325.68
12,12,1971,326.32
13,13,1972,327.46
14,14,1973,329.68
15,15,1974,330.19
16,16,1975,331.13
17,17,1976,332.03
18,18,1977,333.84
19,19,1978,335.41
20,20,1979,336.84
21,21,1980,338.76
22,22,1981,340.12
23,23,1982,341.48
24,24,1983,343.15
25,25,1984,344.87
26,26,1985,346.35
27,27,1986,347.61
28,28,1987,349.31
29,29,1988,351.69
30,30,1989,353.2
31,31,1990,354.45
32,32,1991,355.7
33,33,1992,356.54
34,34,1993,357.21
35,35,1994,358.96
36,36,1995,360.97
37,37,1996,362.74
38,38,1997,363.88
39,39,1998,366.84
40,40,1999,368.54
41,41,2000,369.71
42,42,2001,371.32
43,43,2002,373.45
44,44,2003,375.98
45,45,2004,377.7
46,46,2005,379.98
47,47,2006,382.09
48,48,2007,384.02
49,49,2008,385.83
50,50,2009,387.64
51,51,2010,390.1
52,52,2011,391.85
53,53,2012,394.06
54,54,2013,396.74
55,55,2014,398.81
56,56,2015,401.01
57,57,2016,404.41
58,58,2017,406.76
59,59,2018,408.72
60,60,2019,411.65
61,61,2020,414.21
62,62,2021,416.41
63,63,2022,418.53
64,0,2001,368.02248790241714
65,1,1998,361.78073658846415
66,2,1996,359.6477931830841
67,3,1994,357.10673969933646
68,4,1993,353.94668533391206
69,5,1992,353.72423581425323
70,6,1991,352.41630841973364
71,7,1989,350.8086522409729
72,8,1989,349.8002703595191
73,9,1988,349.27841464963046
74,10,1988,347.59740561133145
75,11,1987,345.44120600376243
76,12,1986,344.71776861346984
77,13,1986,343.9736767615952
78,14,1985,343.1107520502481
79,15,1984,342.0519764062061
80,16,1983,341.3292967441024
81,17,1983,339.4604885213476
82,18,1979,334.84855553252345
83,19,1976,335.5469534579232
84,20,1976,332.3689555204767
85,21,1975,332.3656863259178
86,22,1974,331.54980566810485
87,23,1972,328.4158880123276
88,24,1972,330.3504422217994
89,25,1970,326.3093257445175
90,26,1970,326.6491948420144
91,27,1970,324.9059936630005
92,28,1970,324.5570616692709
93,29,1969,324.70605757685405
94,30,1968,325.07717594979096
95,31,1968,324.08551736938495
96,32,1968,320.38065078205506
97,33,1966,320.4923553617883
98,34,1966,322.1747797142201
99,35,1965,320.98156635342656
100,36,1965,319.1950596158425
101,37,1965,319.8929363220089
102,38,1963,319.12347301713646
103,39,1963,319.06606441856763
104,40,1962,318.61106261456985
105,41,1962,317.4481354802273
106,42,1962,319.1381732232432
107,43,1962,317.5216280215933
108,44,1961,316.59261011941027
109,45,1960,318.20658038167187
110,46,1960,313.0933880516286
111,47,1959,311.98389241638387
112,48,1958,316.3340200101121
113,49,1958,316.1014028920352
114,50,1957,314.57216625352925
115,51,1957,315.2703546298443
116,52,1957,316.3253801823537
117,53,1957,314.4370577968855
118,54,1956,315.342073915026
119,55,1954,314.7139613439055
120,56,1953,313.1710570119369
121,57,1953,312.8003637775662
122,58,1953,312.22274083278216
123,59,1952,312.1844627182946
124,60,1950,312.0017776102837
125,61,1949,313.6602846482332
126,62,1948,309.6939936066409
127,63,1947,311.57094999761165
128,64,1946,310.36290017732523
129,65,1946,312.8663621464335
130,66,1945,312.5596867804179
131,67,1945,311.9671347125998
132,68,1945,311.8114965345337
133,69,1944,310.440204448011
134,70,1944,311.2775834649954
135,71,1944,310.224309572614
136,72,1943,312.36164019507424
137,73,1942,311.878053578341
