year,CO2 (ppmv),Temperature,Mean CH4,unc
-803718,207.28544010704545,,,
-803182,202.2268391289192,,,
-802572,204.86193803431442,,,
-802059,207.49864546768262,,,
-801975,202.92172318213744,,,
-801759,202.64710592439062,,,
-800922,198.6572141815183,,,
-799712,,-8.82,,
-799286,198.68361088983107,,,
-798639,,-8.92,,
-797551,,-8.88,,
-797446,,,399.0,
-796731,200.48945586551156,,,
-796493,,-8.54,,
-796467,,,458.0,
-795458,,-8.73,,
-795428,197.90878630711256,,,
-795327,,,396.0,
-794902,198.79240364499174,,,
-794499,,-8.53,,
-794370,,,418.0,
-793737,204.61750641580798,,,
-793606,,-8.23,,
-793172,208.7893628439667,,,
-792988,,,428.0,
-792758,,-7.33,,
-792450,,,420.0,
-791926,,-6.51,,
-791902,218.39264166858874,,,
-791646,,,451.0,
-791569,213.35775959891657,,,
-791129,,-5.91,,
-790877,,,470.0,
-790667,214.45035139887406,,,
-790381,,-5.61,,
-790080,224.68576227610308,,,
-790045,,,466.0,
-789668,,-5.05,,
-789427,,,503.0,
-789106,230.55013467896873,,,
-788987,,-4.27,,
-788740,,,483.0,
-788689,227.37775029010015,,,
-788332,,-3.7,,
-788088,,,540.0,
-788003,235.48574308581584,,,
-787685,,-3.09,,
-787544,238.64095357456617,,,
-787312,,,543.0,
-787069,,-2.59,,
-786865,,,562.0,
-786741,257.0184549055622,,,
-786529,257.19893666253785,,,
-786492,,-2.37,,
-786173,,,589.0,
-785935,,-1.75,,
-785853,265.99732874144445,,,
-785723,,,659.0,
-785405,269.3559592885488,,,
-785348,,-0.54,,
-784988,,,713.0,
-784756,,-0.63,,
-784699,,,699.0,
-784613,264.34502908314164,,,
-784590,,,739.0,
-784540,,,723.0,
-784239,262.229808343788,,,
-784155,,-1.04,,
-784010,,,677.0,
-783569,259.66462384723866,,,
-783520,,-1.05,,
-783436,,,686.0,
-783084,255.84554031289508,,,
-782880,,-1.15,,
-782690,,,639.0,
-782311,260.91815012089876,,,
-782223,,-1.71,,
-782158,,,653.0,
-781578,,-1.7,,
-781478,,,618.0,
-781248,255.01817636257545,,,
-780906,,-2.04,,
-780901,,,639.0,
-780778,257.43630369580933,,,
-780230,,-1.84,,
-780007,,,623.0,
-779936,251.50919000069746,,,
-779683,,,633.0,
-779612,257.21033919112165,,,
-779569,,-2.28,,
-778913,,-2.37,,
-778795,,,630.0,
-778769,252.52125685420285,,,
-778259,,-2.17,,
-778238,254.43210628699566,,,
-778145,,,616.0,
-777599,,-2.13,,
-777417,254.68956208931286,,,
-777333,,,598.0,
-777107,254.92704442683268,,,
-776923,,-2.17,,
-776810,,,614.0,
-776282,252.45553887568798,,,
-776251,,-2.34,,
-776082,,,681.0,
-775731,247.30321033010094,,,
-775586,,-2.67,,
-775460,,,658.0,
-774911,,-2.7,,
-774832,248.92347258064217,,,
-774605,,,601.0,
-774382,245.31805526765157,,,
-774209,,-2.69,,
-774044,,,618.0,
-773588,241.7410824819303,,,
-773492,,-2.96,,
-773296,,,577.0,
-773008,238.38507756925242,,,
-772753,,-3.47,,
-772575,,,583.0,
-772094,239.23120240300534,,,
-772007,,-3.82,,
-771734,237.7794476149145,,,
-771682,,,549.0,
-771299,246.03058180018394,,,
-771289,,-4.13,,
-771049,,,566.0,
-771045,243.85475201990903,,,
-770787,246.49456803753532,,,
-770603,,-4.52,,
-770524,243.88525238228885,,,
-770249,,,530.0,
-770225,239.7120056138232,,,
-770064,,,539.0,
-769957,,-4.32,,
-769879,,,543.0,
-769862,234.24054819146698,,,
-769591,,,556.0,
-769569,236.31890028889168,,,
-769299,,-3.93,,
-769255,,,639.0,
-769070,229.56423626852964,,,
-768981,,,647.0,
-768652,,,632.0,
-768649,230.62690342109488,,,
-768609,,-3.8,,
-768344,,,630.0,
-768130,,,622.0,
-767881,,-3.84,,
-767777,,,616.0,
-767701,225.86635666622993,,,
-767630,,,587.0,
-767350,,,570.0,
-767122,,-4.54,,
-767111,221.64093650394082,,,
-766741,,,568.0,
-766349,,-5.33,,
-766167,223.81796491327836,,,
-765797,224.86466602091244,,,
-765671,,,486.0,
-765608,,-6.0,,
-765121,,,519.0,
-764930,,-6.4,,
-764858,230.6229188352788,,,
-764296,,,467.0,
-764288,,-6.22,,
-764238,232.11545547204435,,,
-763936,,,462.0,
-763901,229.40748753827657,,,
-763678,,-5.56,,
-763636,233.66090567198847,,,
-763555,,,470.0,
-763272,,,500.0,
-763231,222.92608638468548,,,
-763134,,,535.0,
-763066,,-5.1,,
-762798,,,518.0,
-762726,223.89295015434178,,,
-762635,,,563.0,
-762449,,-4.76,,
-762193,,,549.0,
-761868,,,556.0,
-761820,219.9481576823577,,,
-761811,,-4.72,,
-761513,,,538.0,
-761151,213.99980285899034,,,
-761133,,-5.16,,
-760877,,,521.0,
-760437,,-5.78,,
-760216,214.6940079861074,,,
-760089,,,474.0,
-759914,216.64080861985224,,,
-759742,,-6.72,,
-759624,,,473.0,
-759072,,-7.33,,
-758989,222.7085788690187,,,
-758686,,,454.0,
-758566,225.61582539678184,,,
-758467,,-7.27,,
-758158,225.37366760867587,,,
-758065,,,462.0,
-757928,223.02365546155636,,,
-757888,,-7.12,,
-757611,226.94301148021165,,,
-757332,,-6.43,,
-757250,,,434.0,
-757185,222.72008593220357,,,
-756867,,,421.0,
-756807,,-6.07,,
-756432,,,486.0,
-756412,218.3519526756556,,,
-756315,,-5.77,,
-756193,,,498.0,
-756050,,,498.0,
-755835,213.61139014973043,,,
-755808,,-5.3,,
-755558,,,505.0,
-755270,,-5.09,,
-755266,,,480.0,
-755045,,,473.0,
-754900,209.44507971285617,,,
-754836,,,439.0,
-754693,,-5.5,,
-754616,208.10367110123954,,,
-754371,,,419.0,
-754110,,-6.25,,
-753665,,,445.0,
-753636,203.2996954570858,,,
-753525,,-7.22,,
-753190,,,429.0,
-753164,199.04605364141202,,,
-752936,,-7.54,,
-752399,,,406.0,
-752350,,-7.79,,
-752070,,,410.0,
-751984,203.90279658442103,,,
-751766,,-7.97,,
-751539,195.43388919380428,,,
-751189,,-8.24,,
-750618,,,431.0,
-750615,197.49572596202373,,,
-750611,,-8.37,,
-750040,,-8.42,,
-750023,193.54717137122026,,,
-749805,,,401.0,
-749478,,-8.59,,
-749304,,,428.0,
-749086,191.29603626015793,,,
-748928,,-8.58,,
-748756,192.07592238803636,,,
-748653,,,408.0,
-748372,,-8.5,,
-748095,,,400.0,
-747864,190.17483689562673,,,
-747816,,-8.32,,
-747370,,,378.0,
-747312,188.67887489361217,,,
-747253,,-8.44,,
-746920,,,409.0,
-746692,,-8.6,,
-746386,187.54375693792414,,,
-746283,,,392.0,
-746141,,-8.69,,
-745990,187.95228432826852,,,
-745766,,,405.0,
-745570,,-8.63,,
-745227,187.91988159174213,,,
-745100,,,402.0,
-744997,,-8.62,,
-744669,190.24154927677864,,,
-744653,,,428.0,
-744425,,-8.56,,
-744055,,,415.0,
-743832,,-8.56,,
-743721,187.29232436787936,,,
-743522,,,432.0,
-743221,,-8.41,,
-742824,,,421.0,
-742595,,-8.67,,
-742573,188.96881973948896,,,
-742362,,,422.0,
-742009,188.17959977716015,,,
-741984,,-8.84,,
-741756,,,439.0,
-741375,,-8.95,,
-741257,,,422.0,
-741112,187.3271928405565,,,
-740757,,-8.6,,
-740694,188.64664196412704,,,
