year,Temperature
1912,-0.38
1913,-0.25
1914,-0.12
1915,-0.13
1916,-0.4
1917,-0.33
1918,-0.07
1919,-0.34
1920,-0.24
1921,-0.15
1922,-0.15
1923,-0.05
1924,-0.21
1925,0.02
1926,-0.06
1927,-0.05
1928,-0.11
1929,-0.12
1930,0.14
1931,-0.09
1932,-0.23
1933,-0.27
1934,0.08
1935,-0.22
1936,0.01
1937,0.13
1938,0.08
1939,0.06
1940,0.17
1941,0.27
1942,0.08
1943,0.23
1944,0.13
1945,0.1
1946,-0.02
1947,0.0
1948,-0.07
1949,-0.03
1950,-0.26
1951,0.03
1952,-0.08
1953,0.04
1954,0.09
1955,-0.26
1956,-0.15
1957,0.08
1958,0.04
1959,-0.03
1960,-0.11
1961,0.04
1962,0.11
1963,0.19
1964,-0.2
1965,0.03
1966,0.01
1967,-0.04
1968,-0.05
1969,0.15
1970,0.04
1971,-0.05
1972,0.06
1973,0.02
1974,-0.1
1975,-0.17
1976,-0.03
1977,0.23
1978,0.2
1979,0.31
1980,0.27
1981,0.31
1982,0.12
1983,0.37
1984,0.1
1985,0.14
1986,0.13
1987,0.26
1988,0.16
1989,0.19
1990,0.42
1991,0.31
1992,0.05
1993,0.1
1994,0.42
1995,0.48
1996,0.44
1997,0.65
1998,0.44
1999,0.39
2000,0.33
2001,0.71
2002,0.62
2003,0.56
2004,0.72
2005,0.78
2006,0.72
2007,0.58
2008,0.71
2009,0.82
2010,0.79
2011,0.6
2012,0.79
2013,0.81
2014,0.68
2015,1.06
2016,0.94
2017,0.91
2018,0.84
2019,0.99
2020,1.05
2021,0.95
2022,0.75
2023,1.44
1911,0.88
1903,1.84
1894,3.04
1885,0.35
1876,-0.42
1868,0.05
1859,0.05
1850,-0.52
1840,0.79
1830,-0.55
1820,-1.11
1810,0.38
1799,-0.4
1789,1.05
1778,0.28
1768,-0.72
1758,-1.23
1748,0.51
1737,-2.44
1726,0.42
1716,0.84
1705,0.71
1694,-0.02
1683,-0.14
1672,-1.41
1660,-0.34
1648,0.16
1637,-1.22
1626,-0.41
1614,-0.59
1603,0.03
1591,-0.67
1579,-0.9
1567,-1.53
1554,-0.47
1542,-0.12
1531,0.21
1519,-1.73
1507,0.16
1495,0.14
1483,-0.56
1471,-0.8
1459,0.42
1446,-2.36
1434,-0.85
1421,-0.36
1408,1.26
1395,0.7
1382,-0.77
1369,1.4
1356,-0.87
1343,-0.81
1330,1.46
1317,0.98
1305,0.27
1291,-0.96
1277,-0.61
1263,-0.63
1249,-0.49
1234,-0.96
1220,-1.44
1205,-0.91
1191,-0.1
1177,-0.16
1164,0.32
1151,0.03
1137,0.56
1125,0.94
1112,1.17
1100,1.5
1088,-1.03
1074,0.59
1060,-1.41
1046,0.92
1032,-1.03
1018,-0.67
1003,-0.55
988,-0.75
974,0.38
959,-0.4
945,-0.44
931,-0.95
917,0.14
903,0.99
889,0.36
875,-0.75
860,-0.8
846,0.72
831,-0.54
817,1.55
803,-0.9
789,-0.34
775,0.93
761,1.03
748,0.88
734,-0.54
720,0.58
706,0.37
691,0.27
677,-0.16
663,-0.3
648,1.23
634,0.22
619,0.89
605,-0.17
591,1.55
577,0.89
563,-0.17
549,-0.02
534,-0.48
518,-0.7
502,-0.45
486,1.04
471,-0.93
455,-0.32
440,-0.54
